Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Advogado;UNIÃO;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Senador;PT;Apto;2º turno;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Senador;PT;Apto;Não eleito;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior incompleto;PERNAMBUCO;Brasileira nata;Empresário;PL;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;ACRE;Brasileira nata;Professor de Ensino Superior;PSOL;Apto;Não eleito;AC;NORTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Governador;UNIÃO;Apto;Eleito;MT;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Advogado;PSD;Apto;Não eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Deputado;PSB;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Deputado;PSB;Apto;Não eleito;RJ;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Governador;PP;Apto;Eleito;RR;NORTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Governador;REPUBLICANOS;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Professor de Ensino Superior;PT;Apto;2º turno;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Professor de Ensino Superior;PT;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Militar Reformado;PMB;Apto;Não eleito;TO;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Empresário;PSD;Apto;Não eleito;AP;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Governador;PSB;Apto;2º turno;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Governador;PSB;Apto;Eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Terapeuta;PRTB;Apto;Não eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Professor de Ensino Superior;PT;Apto;Não eleito;GO;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PSB;Apto;Eleito;MA;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Economista;PSDB;Apto;Não eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Engenheiro;AGIR;Apto;Não eleito;PA;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Senador;PL;Apto;Não eleito;PA;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Servidor Público Estadual;PDT;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Advogado;PT;Apto;2º turno;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Advogado;PT;Apto;Não eleito;SC;SUL
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Engenheiro;PL;Apto;Não eleito;TO;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior incompleto;MINAS GERAIS;Brasileira nata;Empresário;PSD;Apto;Não eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Feminino;Superior completo;RORAIMA;Brasileira nata;Administrador;MDB;Apto;Não eleito;RR;NORTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Senador;PSDB;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Empresário;PL;Apto;2º turno;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Empresário;PL;Apto;Não eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Empresário;PSD;Apto;Não eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;2º turno;PB;NORDESTE
