Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;CEARÁ;Brasileira nata;Agrônomo;PT;Apto;Eleito;CE;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Empresário;DEM;Apto;Eleito;MT;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Advogado;PSC;Apto;Eleito;RJ;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Militar Reformado;PSL;Apto;Eleito;RO;NORTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Bombeiro Militar;PSL;Apto;Eleito;SC;SUL
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;TOCANTINS;Brasileira nata;Governador;PHS;Apto;Eleito;TO;NORTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Outros;PSB;Apto;Eleito;ES;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Governador;PSD;Apto;Eleito;SE;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior incompleto;MATO GROSSO DO SUL;Brasileira nata;Governador;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Empresário;PSDB;Apto;Eleito;SP;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Médico;DEM;Apto;Eleito;GO;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;Eleito;PB;NORDESTE
2018;Governador;Branca;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Empresário;NOVO;Apto;Eleito;MG;SUDESTE
2018;Governador;Branca;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Empresário;PSL;Apto;Eleito;RR;NORTE
2018;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;Eleito;RS;SUL
